@runq_delay_us: 
[1]                    3 |                                                    |
[2, 4)               892 |@@@@@@@@@@@@@                                       |
[4, 8)            213083 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            86603 |@@@@@@@@@@@@@@@@@@@@@                               |
[16, 32)           42708 |@@@@@@@@@@                                          |
[32, 64)           22783 |@@@@@                                               |
[64, 128)          30185 |@@@@@@@                                             |
[128, 256)         30799 |@@@@@@@                                             |
[256, 512)         26073 |@@@@@@                                              |
[512, 1K)          23596 |@@@@@                                               |
[1K, 2K)            8186 |@                                                   |
[2K, 4K)            3401 |                                                    |
[4K, 8K)             325 |                                                    |
[8K, 16K)            118 |                                                    |
[16K, 32K)            49 |                                                    |
[32K, 64K)             9 |                                                    |
[64K, 128K)            6 |                                                    |
[128K, 256K)           2 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 823652
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             22953 |@@@@@                                               |
[4, 8)            223801 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            91352 |@@@@@@@@@@@@@@@@@@@@@                               |
[16, 32)           46191 |@@@@@@@@@@                                          |
[32, 64)           24736 |@@@@@                                               |
[64, 128)          33457 |@@@@@@@                                             |
[128, 256)         34419 |@@@@@@@                                             |
[256, 512)         29977 |@@@@@@                                              |
[512, 1K)          27169 |@@@@@@                                              |
[1K, 2K)            8429 |@                                                   |
[2K, 4K)            3495 |                                                    |
[4K, 8K)             337 |                                                    |
[8K, 16K)            125 |                                                    |
[16K, 32K)            53 |                                                    |
[32K, 64K)             9 |                                                    |
[64K, 128K)            6 |                                                    |
[128K, 256K)           6 |                                                    |
[256K, 512K)           2 |                                                    |

@ctx_switches: 875444
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             24064 |@@@@@                                               |
[4, 8)            232965 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            94550 |@@@@@@@@@@@@@@@@@@@@@                               |
[16, 32)           48479 |@@@@@@@@@@                                          |
[32, 64)           26181 |@@@@@                                               |
[64, 128)          36076 |@@@@@@@@                                            |
[128, 256)         37869 |@@@@@@@@                                            |
[256, 512)         32798 |@@@@@@@                                             |
[512, 1K)          28568 |@@@@@@                                              |
[1K, 2K)            8614 |@                                                   |
[2K, 4K)            3563 |                                                    |
[4K, 8K)             344 |                                                    |
[8K, 16K)            131 |                                                    |
[16K, 32K)            56 |                                                    |
[32K, 64K)             9 |                                                    |
[64K, 128K)            6 |                                                    |
[128K, 256K)           6 |                                                    |
[256K, 512K)           2 |                                                    |

@ctx_switches: 915274
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             24234 |@@@@@                                               |
[4, 8)            235643 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            96443 |@@@@@@@@@@@@@@@@@@@@@                               |
[16, 32)           49541 |@@@@@@@@@@                                          |
[32, 64)           26488 |@@@@@                                               |
[64, 128)          36225 |@@@@@@@                                             |
[128, 256)         37992 |@@@@@@@@                                            |
[256, 512)         32906 |@@@@@@@                                             |
[512, 1K)          28701 |@@@@@@                                              |
[1K, 2K)            8705 |@                                                   |
[2K, 4K)            3608 |                                                    |
[4K, 8K)             345 |                                                    |
[8K, 16K)            131 |                                                    |
[16K, 32K)            58 |                                                    |
[32K, 64K)             9 |                                                    |
[64K, 128K)            6 |                                                    |
[128K, 256K)           6 |                                                    |
[256K, 512K)           2 |                                                    |

@ctx_switches: 927438
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             24432 |@@@@@                                               |
[4, 8)            238600 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            98640 |@@@@@@@@@@@@@@@@@@@@@                               |
[16, 32)           50799 |@@@@@@@@@@@                                         |
[32, 64)           26929 |@@@@@                                               |
[64, 128)          36509 |@@@@@@@                                             |
[128, 256)         38167 |@@@@@@@@                                            |
[256, 512)         33060 |@@@@@@@                                             |
[512, 1K)          28858 |@@@@@@                                              |
[1K, 2K)            8780 |@                                                   |
[2K, 4K)            3643 |                                                    |
[4K, 8K)             351 |                                                    |
[8K, 16K)            141 |                                                    |
[16K, 32K)            59 |                                                    |
[32K, 64K)            10 |                                                    |
[64K, 128K)            6 |                                                    |
[128K, 256K)           6 |                                                    |
[256K, 512K)           2 |                                                    |

@ctx_switches: 941384
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             24847 |@@@@@                                               |
[4, 8)            246410 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)           102701 |@@@@@@@@@@@@@@@@@@@@@                               |
[16, 32)           53028 |@@@@@@@@@@@                                         |
[32, 64)           28250 |@@@@@                                               |
[64, 128)          38179 |@@@@@@@@                                            |
[128, 256)         40132 |@@@@@@@@                                            |
[256, 512)         35313 |@@@@@@@                                             |
[512, 1K)          30724 |@@@@@@                                              |
[1K, 2K)            9495 |@@                                                  |
[2K, 4K)            3762 |                                                    |
[4K, 8K)             356 |                                                    |
[8K, 16K)            144 |                                                    |
[16K, 32K)            61 |                                                    |
[32K, 64K)            11 |                                                    |
[64K, 128K)            6 |                                                    |
[128K, 256K)           6 |                                                    |
[256K, 512K)           2 |                                                    |

@ctx_switches: 986201
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             25010 |@@@@@                                               |
[4, 8)            259601 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)           107699 |@@@@@@@@@@@@@@@@@@@@@                               |
[16, 32)           56579 |@@@@@@@@@@@                                         |
[32, 64)           30405 |@@@@@@                                              |
[64, 128)          40555 |@@@@@@@@                                            |
[128, 256)         42394 |@@@@@@@@                                            |
[256, 512)         37182 |@@@@@@@                                             |
[512, 1K)          31829 |@@@@@@                                              |
[1K, 2K)           10191 |@@                                                  |
[2K, 4K)            4066 |                                                    |
[4K, 8K)             373 |                                                    |
[8K, 16K)            157 |                                                    |
[16K, 32K)            65 |                                                    |
[32K, 64K)            12 |                                                    |
[64K, 128K)            8 |                                                    |
[128K, 256K)           6 |                                                    |
[256K, 512K)           2 |                                                    |

@ctx_switches: 1035172
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             25218 |@@@@                                                |
[4, 8)            273467 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)           112881 |@@@@@@@@@@@@@@@@@@@@@                               |
[16, 32)           60510 |@@@@@@@@@@@                                         |
[32, 64)           32143 |@@@@@@                                              |
[64, 128)          42980 |@@@@@@@@                                            |
[128, 256)         44738 |@@@@@@@@                                            |
[256, 512)         38845 |@@@@@@@                                             |
[512, 1K)          32763 |@@@@@@                                              |
[1K, 2K)           10808 |@@                                                  |
[2K, 4K)            4377 |                                                    |
[4K, 8K)             382 |                                                    |
[8K, 16K)            157 |                                                    |
[16K, 32K)            67 |                                                    |
[32K, 64K)            12 |                                                    |
[64K, 128K)            8 |                                                    |
[128K, 256K)           6 |                                                    |
[256K, 512K)           2 |                                                    |

@ctx_switches: 1085549
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             25351 |@@@@                                                |
[4, 8)            287075 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)           118366 |@@@@@@@@@@@@@@@@@@@@@                               |
[16, 32)           64559 |@@@@@@@@@@@                                         |
[32, 64)           33773 |@@@@@@                                              |
[64, 128)          45138 |@@@@@@@@                                            |
[128, 256)         46722 |@@@@@@@@                                            |
[256, 512)         40487 |@@@@@@@                                             |
[512, 1K)          33652 |@@@@@@                                              |
[1K, 2K)           11510 |@@                                                  |
[2K, 4K)            4689 |                                                    |
[4K, 8K)             394 |                                                    |
[8K, 16K)            160 |                                                    |
[16K, 32K)            71 |                                                    |
[32K, 64K)            14 |                                                    |
[64K, 128K)            8 |                                                    |
[128K, 256K)           6 |                                                    |
[256K, 512K)           2 |                                                    |

@ctx_switches: 1135899
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             25493 |@@@@                                                |
[4, 8)            302956 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)           125227 |@@@@@@@@@@@@@@@@@@@@@                               |
[16, 32)           69234 |@@@@@@@@@@@                                         |
[32, 64)           36061 |@@@@@@                                              |
[64, 128)          47557 |@@@@@@@@                                            |
[128, 256)         48870 |@@@@@@@@                                            |
[256, 512)         42291 |@@@@@@@                                             |
[512, 1K)          34564 |@@@@@                                               |
[1K, 2K)           12295 |@@                                                  |
[2K, 4K)            5030 |                                                    |
[4K, 8K)             433 |                                                    |
[8K, 16K)            160 |                                                    |
[16K, 32K)            72 |                                                    |
[32K, 64K)            14 |                                                    |
[64K, 128K)            8 |                                                    |
[128K, 256K)           6 |                                                    |
[256K, 512K)           2 |                                                    |

@ctx_switches: 1194452
@runq_delay_us: 
[1]                    4 |                                                    |
[2, 4)             25963 |@@@@                                                |
[4, 8)            313436 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
