@runq_delay_us: 
[2, 4)               400 |@@@@@@                                              |
[8, 16)             7929 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                   |
[16, 32)            3833 |@@@@@@@@@@@@@@@@                                    |
[32, 64)            1982 |@@@@@@@@                                            |
[64, 128)           1073 |@@@@                                                |
[128, 256)           799 |@@@                                                 |
[256, 512)           725 |@@@                                                 |
[512, 1K)            800 |@@@                                                 |
[1K, 2K)             734 |@@@                                                 |
[2K, 4K)             470 |@@                                                  |
[4K, 8K)             152 |                                                    |
[8K, 16K)             69 |                                                    |
[16K, 32K)            65 |                                                    |
[32K, 64K)            31 |                                                    |
[64K, 128K)            2 |                                                    |
[128K, 256K)           1 |                                                    |

@ctx_switches: 55797
@runq_delay_us: 
[2, 4)              1240 |@@@                                                 |
[4, 8)             17837 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            12087 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                 |
[16, 32)            5160 |@@@@@@@@@@@@@@@                                     |
[32, 64)            2672 |@@@@@@@                                             |
[64, 128)           1431 |@@@@                                                |
[128, 256)          1056 |@@@                                                 |
[256, 512)           951 |@@                                                  |
[512, 1K)           1169 |@@@                                                 |
[1K, 2K)            1001 |@@                                                  |
[2K, 4K)             538 |@                                                   |
[4K, 8K)             171 |                                                    |
[8K, 16K)             71 |                                                    |
[16K, 32K)            67 |                                                    |
[32K, 64K)            31 |                                                    |
[64K, 128K)            2 |                                                    |
[128K, 256K)           1 |                                                    |

@ctx_switches: 80794
@runq_delay_us: 
[2, 4)              1566 |@@@                                                 |
[4, 8)             23007 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            15957 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                |
[16, 32)            6445 |@@@@@@@@@@@@@@                                      |
[32, 64)            3330 |@@@@@@@                                             |
[64, 128)           1947 |@@@@                                                |
[128, 256)          1365 |@@@                                                 |
[256, 512)          1241 |@@                                                  |
[512, 1K)           1529 |@@@                                                 |
[1K, 2K)            1235 |@@                                                  |
[2K, 4K)             601 |@                                                   |
[4K, 8K)             187 |                                                    |
[8K, 16K)             81 |                                                    |
[16K, 32K)            69 |                                                    |
[32K, 64K)            34 |                                                    |
[64K, 128K)            2 |                                                    |
[128K, 256K)           1 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 104274
@runq_delay_us: 
[2, 4)              1906 |@@@                                                 |
[4, 8)             28064 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            19243 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                 |
[16, 32)            7525 |@@@@@@@@@@@@@                                       |
[32, 64)            3924 |@@@@@@@                                             |
[64, 128)           2311 |@@@@                                                |
[128, 256)          1595 |@@                                                  |
[256, 512)          1424 |@@                                                  |
[512, 1K)           1848 |@@@                                                 |
[1K, 2K)            1463 |@@                                                  |
[2K, 4K)             636 |@                                                   |
[4K, 8K)             199 |                                                    |
[8K, 16K)             83 |                                                    |
[16K, 32K)            70 |                                                    |
[32K, 64K)            34 |                                                    |
[64K, 128K)            2 |                                                    |
[128K, 256K)           1 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 125430
@runq_delay_us: 
[2, 4)              2131 |@@@                                                 |
[4, 8)             33331 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            22884 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                 |
[16, 32)            8549 |@@@@@@@@@@@@@                                       |
[32, 64)            4447 |@@@@@@                                              |
[64, 128)           2670 |@@@@                                                |
[128, 256)          1798 |@@                                                  |
[256, 512)          1634 |@@                                                  |
[512, 1K)           2206 |@@@                                                 |
[1K, 2K)            1708 |@@                                                  |
[2K, 4K)             689 |@                                                   |
[4K, 8K)             206 |                                                    |
[8K, 16K)             83 |                                                    |
[16K, 32K)            77 |                                                    |
[32K, 64K)            40 |                                                    |
[64K, 128K)            3 |                                                    |
[128K, 256K)           1 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 147457
@runq_delay_us: 
[2, 4)              2355 |@@@                                                 |
[4, 8)             38903 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            26162 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                  |
[16, 32)            9507 |@@@@@@@@@@@@                                        |
[32, 64)            4930 |@@@@@@                                              |
[64, 128)           2909 |@@@                                                 |
[128, 256)          1957 |@@                                                  |
[256, 512)          1794 |@@                                                  |
[512, 1K)           2517 |@@@                                                 |
[1K, 2K)            1996 |@@                                                  |
[2K, 4K)             755 |@                                                   |
[4K, 8K)             212 |                                                    |
[8K, 16K)             85 |                                                    |
[16K, 32K)            77 |                                                    |
[32K, 64K)            40 |                                                    |
[64K, 128K)            3 |                                                    |
[128K, 256K)           1 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 168641
@runq_delay_us: 
[2, 4)              2603 |@@                                                  |
[4, 8)             45316 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            29820 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                  |
[16, 32)           10496 |@@@@@@@@@@@@                                        |
[32, 64)            5365 |@@@@@@                                              |
[64, 128)           3198 |@@@                                                 |
[128, 256)          2141 |@@                                                  |
[256, 512)          1991 |@@                                                  |
[512, 1K)           2846 |@@@                                                 |
[1K, 2K)            2289 |@@                                                  |
[2K, 4K)             798 |                                                    |
[4K, 8K)             222 |                                                    |
[8K, 16K)             88 |                                                    |
[16K, 32K)            78 |                                                    |
[32K, 64K)            42 |                                                    |
[64K, 128K)            3 |                                                    |
[128K, 256K)           1 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 192613
@runq_delay_us: 
[2, 4)              3027 |@@@                                                 |
[4, 8)             52210 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            34272 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                  |
[16, 32)           11954 |@@@@@@@@@@@                                         |
[32, 64)            6148 |@@@@@@                                              |
[64, 128)           4175 |@@@@                                                |
[128, 256)          3215 |@@@                                                 |
[256, 512)          3141 |@@@                                                 |
[512, 1K)           3723 |@@@                                                 |
[1K, 2K)            2728 |@@                                                  |
[2K, 4K)             896 |                                                    |
[4K, 8K)             242 |                                                    |
[8K, 16K)             95 |                                                    |
[16K, 32K)            83 |                                                    |
[32K, 64K)            42 |                                                    |
[64K, 128K)            3 |                                                    |
[128K, 256K)           1 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 231276
@runq_delay_us: 
[2, 4)              3223 |@@                                                  |
[4, 8)             61262 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            40419 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                  |
[16, 32)           13973 |@@@@@@@@@@@                                         |
[32, 64)            7243 |@@@@@@                                              |
[64, 128)           6233 |@@@@@                                               |
[128, 256)          5421 |@@@@                                                |
[256, 512)          5277 |@@@@                                                |
[512, 1K)           5258 |@@@@                                                |
[1K, 2K)            2992 |@@                                                  |
[2K, 4K)            1066 |                                                    |
[4K, 8K)             274 |                                                    |
[8K, 16K)            100 |                                                    |
[16K, 32K)            87 |                                                    |
[32K, 64K)            44 |                                                    |
[64K, 128K)            3 |                                                    |
[128K, 256K)           1 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 272940
@runq_delay_us: 
[2, 4)              3673 |@@                                                  |
[4, 8)             73446 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            46460 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                    |
[16, 32)           15781 |@@@@@@@@@@@                                         |
[32, 64)            8116 |@@@@@                                               |
[64, 128)           7446 |@@@@@                                               |
[128, 256)          6597 |@@@@                                                |
[256, 512)          6246 |@@@@                                                |
[512, 1K)           5941 |@@@@                                                |
[1K, 2K)            3382 |@@                                                  |
[2K, 4K)            1350 |                                                    |
[4K, 8K)             316 |                                                    |
[8K, 16K)            102 |                                                    |
[16K, 32K)            87 |                                                    |
[32K, 64K)            44 |                                                    |
[64K, 128K)            3 |                                                    |
[128K, 256K)           1 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 316492
@runq_delay_us: 
[2, 4)              4042 |@@                                                  |
[4, 8)             85632 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            52528 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                     |
[16, 32)           18097 |@@@@@@@@@@                                          |
[32, 64)            9222 |@@@@@                                               |
[64, 128)           8803 |@@@@@                                               |
[128, 256)          7810 |@@@@                                                |
[256, 512)          7216 |@@@@                                                |
[512, 1K)           6684 |@@@@                                                |
[1K, 2K)            3802 |@@                                                  |
[2K, 4K)            1654 |@                                                   |
[4K, 8K)             406 |                                                    |
[8K, 16K)            106 |                                                    |
[16K, 32K)            88 |                                                    |
[32K, 64K)            46 |                                                    |
[64K, 128K)            3 |                                                    |
[128K, 256K)           1 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 361620
@runq_delay_us: 
[2, 4)              5139 |@@                                                  |
[4, 8)             97929 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            58956 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                     |
[16, 32)           20278 |@@@@@@@@@@                                          |
[32, 64)           10273 |@@@@@                                               |
[64, 128)          10211 |@@@@@                                               |
[128, 256)          9185 |@@@@                                                |
[256, 512)          8372 |@@@@                                                |
[512, 1K)           7364 |@@@                                                 |
[1K, 2K)            4265 |@@                                                  |
[2K, 4K)            1915 |@                                                   |
[4K, 8K)             430 |                                                    |
[8K, 16K)            114 |                                                    |
[16K, 32K)            88 |                                                    |
[32K, 64K)            46 |                                                    |
[64K, 128K)            3 |                                                    |
[128K, 256K)           1 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 408293
@runq_delay_us: 
[2, 4)              5377 |@@                                                  |
[4, 8)            108752 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            65942 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                     |
[16, 32)           22703 |@@@@@@@@@@                                          |
[32, 64)           11705 |@@@@@                                               |
[64, 128)          12013 |@@@@@                                               |
[128, 256)         10970 |@@@@@                                               |
[256, 512)          9747 |@@@@                                                |
[512, 1K)           8257 |@@@                                                 |
[1K, 2K)            4815 |@@                                                  |
[2K, 4K)            2204 |@                                                   |
[4K, 8K)             496 |                                                    |
[8K, 16K)            120 |                                                    |
[16K, 32K)            91 |                                                    |
[32K, 64K)            47 |                                                    |
[64K, 128K)            3 |                                                    |
[128K, 256K)           1 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 454337
@runq_delay_us: 
[2, 4)              5764 |@@                                                  |
[4, 8)            117554 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            73826 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                    |
[16, 32)           24946 |@@@@@@@@@@@                                         |
[32, 64)           12856 |@@@@@                                               |
[64, 128)          13479 |@@@@@                                               |
[128, 256)         12807 |@@@@@                                               |
[256, 512)         11700 |@@@@@                                               |
[512, 1K)           9659 |@@@@                                                |
[1K, 2K)            5411 |@@                                                  |
[2K, 4K)            2587 |@                                                   |
[4K, 8K)             518 |                                                    |
[8K, 16K)            121 |                                                    |
[16K, 32K)            93 |                                                    |
[32K, 64K)            47 |                                                    |
[64K, 128K)            3 |                                                    |
[128K, 256K)           1 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 498593
@runq_delay_us: 
[2, 4)              6168 |@@                                                  |
[4, 8)            124341 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            81460 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                  |
[16, 32)           27168 |@@@@@@@@@@@                                         |
[32, 64)           14183 |@@@@@                                               |
[64, 128)          15286 |@@@@@@                                              |
[128, 256)         15104 |@@@@@@                                              |
[256, 512)         14488 |@@@@@@                                              |
[512, 1K)          11901 |@@@@                                                |
[1K, 2K)            6022 |@@                                                  |
[2K, 4K)            2828 |@                                                   |
[4K, 8K)             539 |                                                    |
[8K, 16K)            127 |                                                    |
[16K, 32K)            94 |                                                    |
[32K, 64K)            49 |                                                    |
[64K, 128K)            3 |                                                    |
[128K, 256K)           1 |                                                    |
[256K, 512K)           1 |                                                    |

@ctx_switches: 542043
@runq_delay_us: 
[2, 4)              6410 |@@                                                  |
[4, 8)            134459 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            85410 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                   |
[16, 32)           29257 |@@@@@@@@@@@                                         |
[32, 64)           16101 |@@@@@@                                              |
[64, 128)          17559 |@@@@@@                                              |
[128, 256)         16462 |@@@@@@                                              |
[256, 512)         15620 |@@@@@@                                              |
[512, 1K)          12576 |@@@@                                                |
[1K, 2K)            6457 |@@                                                  |
[2K, 4K)            3081 |@                                                   |
[4K, 8K)             581 |                                                    |
[8K, 16K)            130 |                                                    |
[16K, 32K)           137 |                                                    |
[32K, 64K)            50 |                                                    |
[64K, 128K)            3 |                                                    |
[128K, 256K)           1 |                                                    |
[256K, 512K)           2 |                                                    |

@ctx_switches: 581073
@runq_delay_us: 
[2, 4)              6765 |@@                                                  |
[4, 8)            148196 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            90159 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                     |
[16, 32)           31413 |@@@@@@@@@@@                                         |
[32, 64)           17445 |@@@@@@                                              |
[64, 128)          19885 |@@@@@@                                              |
[128, 256)         18343 |@@@@@@                                              |
[256, 512)         17105 |@@@@@@                                              |
[512, 1K)          13598 |@@@@                                                |
[1K, 2K)            6886 |@@                                                  |
[2K, 4K)            3385 |@                                                   |
[4K, 8K)             619 |                                                    |
[8K, 16K)            136 |                                                    |
[16K, 32K)           146 |                                                    |
[32K, 64K)            51 |                                                    |
[64K, 128K)            4 |                                                    |
[128K, 256K)           1 |                                                    |
[256K, 512K)           2 |                                                    |

@ctx_switches: 628829
@runq_delay_us: 
[2, 4)              7221 |@@                                                  |
[4, 8)            156580 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)            96551 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                    |
[16, 32)           33724 |@@@@@@@@@@@                                         |
[32, 64)           18771 |@@@@@@                                              |
[64, 128)          21484 |@@@@@@@                                             |
[128, 256)         20368 |@@@@@@                                              |
[256, 512)         19434 |@@@@@@                                              |
[512, 1K)          15722 |@@@@@                                               |
[1K, 2K)            7560 |@@                                                  |
[2K, 4K)            3683 |@                                                   |
[4K, 8K)             672 |                                                    |
[8K, 16K)            163 |                                                    |
[16K, 32K)           154 |                                                    |
[32K, 64K)            51 |                                                    |
[64K, 128K)            4 |                                                    |
[128K, 256K)           1 |                                                    |
[256K, 512K)           2 |                                                    |

@ctx_switches: 671902
@runq_delay_us: 
[2, 4)              8285 |@@                                                  |
[4, 8)            162694 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)           101569 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                    |
[16, 32)           35364 |@@@@@@@@@@@                                         |
[32, 64)           19710 |@@@@@@                                              |
[64, 128)          22496 |@@@@@@@                                             |
[128, 256)         21473 |@@@@@@                                              |
[256, 512)         20743 |@@@@@@                                              |
[512, 1K)          16934 |@@@@@                                               |
[1K, 2K)            8331 |@@                                                  |
[2K, 4K)            4056 |@                                                   |
[4K, 8K)             755 |                                                    |
[8K, 16K)            199 |                                                    |
[16K, 32K)           166 |                                                    |
[32K, 64K)            61 |                                                    |
[64K, 128K)           16 |                                                    |
[128K, 256K)           1 |                                                    |
[256K, 512K)           2 |                                                    |

@ctx_switches: 705487
@runq_delay_us: 
[2, 4)              8544 |@@                                                  |
[4, 8)            172654 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)           105822 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                     |
[16, 32)           37695 |@@@@@@@@@@@                                         |
[32, 64)           20998 |@@@@@@                                              |
[64, 128)          23813 |@@@@@@@                                             |
[128, 256)         22876 |@@@@@@                                              |
[256, 512)         22343 |@@@@@@                                              |
[512, 1K)          18127 |@@@@@                                               |
[1K, 2K)            8879 |@@                                                  |
[2K, 4K)            4398 |@                                                   |
[4K, 8K)             852 |                                                    |
[8K, 16K)            263 |                                                    |
[16K, 32K)           206 |                                                    |
[32K, 64K)            63 |                                                    |
[64K, 128K)           23 |                                                    |
[128K, 256K)           2 |                                                    |
[256K, 512K)           2 |                                                    |

@ctx_switches: 744322
@runq_delay_us: 
[2, 4)              8752 |@@                                                  |
[4, 8)            183574 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)           110445 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                     |
[16, 32)           39963 |@@@@@@@@@@@                                         |
[32, 64)           22489 |@@@@@@                                              |
[64, 128)          25546 |@@@@@@@                                             |
[128, 256)         24280 |@@@@@@                                              |
[256, 512)         23625 |@@@@@@                                              |
[512, 1K)          18959 |@@@@@                                               |
[1K, 2K)            9327 |@@                                                  |
[2K, 4K)            4659 |@                                                   |
[4K, 8K)             917 |                                                    |
[8K, 16K)            281 |                                                    |
[16K, 32K)           215 |                                                    |
[32K, 64K)            66 |                                                    |
[64K, 128K)           23 |                                                    |
[128K, 256K)           3 |                                                    |
[256K, 512K)           2 |                                                    |

@ctx_switches: 784565
@runq_delay_us: 
[2, 4)              9178 |@@                                                  |
[4, 8)            196368 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)           115539 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                      |
[16, 32)           42137 |@@@@@@@@@@@                                         |
[32, 64)           23550 |@@@@@@                                              |
[64, 128)          27028 |@@@@@@@                                             |
[128, 256)         25687 |@@@@@@                                              |
[256, 512)         24688 |@@@@@@                                              |
[512, 1K)          19621 |@@@@@                                               |
[1K, 2K)            9740 |@@                                                  |
[2K, 4K)            4922 |@                                                   |
[4K, 8K)             953 |                                                    |
[8K, 16K)            283 |                                                    |
[16K, 32K)           215 |                                                    |
[32K, 64K)            66 |                                                    |
[64K, 128K)           23 |                                                    |
[128K, 256K)           3 |                                                    |
[256K, 512K)           2 |                                                    |

@ctx_switches: 827327
@runq_delay_us: 
[2, 4)              9674 |@@                                                  |
[4, 8)            208834 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)           121872 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                      |
[16, 32)           44102 |@@@@@@@@@@                                          |
[32, 64)           24539 |@@@@@@                                              |
[64, 128)          28260 |@@@@@@@                                             |
[128, 256)         27108 |@@@@@@                                              |
[256, 512)         25853 |@@@@@@                                              |
[512, 1K)          20387 |@@@@@                                               |
[1K, 2K)           10196 |@@                                                  |
[2K, 4K)            5268 |@                                                   |
[4K, 8K)            1015 |                                                    |
[8K, 16K)            293 |                                                    |
[16K, 32K)           220 |                                                    |
[32K, 64K)            71 |                                                    |
[64K, 128K)           23 |                                                    |
[128K, 256K)           3 |                                                    |
[256K, 512K)           2 |                                                    |

@ctx_switches: 873584
@runq_delay_us: 
[2, 4)             11064 |@@                                                  |
[4, 8)            220476 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)           127685 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                      |
[16, 32)           46550 |@@@@@@@@@@                                          |
[32, 64)           25958 |@@@@@@                                              |
[64, 128)          29856 |@@@@@@@                                             |
[128, 256)         28519 |@@@@@@                                              |
[256, 512)         27017 |@@@@@@                                              |
[512, 1K)          21031 |@@@@                                                |
[1K, 2K)           10596 |@@                                                  |
[2K, 4K)            5542 |@                                                   |
[4K, 8K)            1042 |                                                    |
[8K, 16K)            295 |                                                    |
[16K, 32K)           221 |                                                    |
[32K, 64K)            71 |                                                    |
[64K, 128K)           28 |                                                    |
[128K, 256K)           3 |                                                    |
[256K, 512K)           2 |                                                    |

@ctx_switches: 919598
@runq_delay_us: 
[2, 4)             11534 |@@                                                  |
[4, 8)            226314 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)           133485 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                      |
[16, 32)           48553 |@@@@@@@@@@@                                         |
[32, 64)           27711 |@@@@@@                                              |
[64, 128)          31477 |@@@@@@@                                             |
[128, 256)         30237 |@@@@@@                                              |
[256, 512)         28656 |@@@@@@                                              |
[512, 1K)          22486 |@@@@@                                               |
[1K, 2K)           11217 |@@                                                  |
[2K, 4K)            5865 |@                                                   |
[4K, 8K)            1090 |                                                    |
[8K, 16K)            304 |                                                    |
[16K, 32K)           227 |                                                    |
[32K, 64K)            73 |                                                    |
[64K, 128K)           30 |                                                    |
[128K, 256K)           4 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 956484
@runq_delay_us: 
[2, 4)             12050 |@@                                                  |
[4, 8)            232885 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)           138119 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                      |
[16, 32)           50129 |@@@@@@@@@@@                                         |
[32, 64)           28788 |@@@@@@                                              |
[64, 128)          33632 |@@@@@@@                                             |
[128, 256)         32440 |@@@@@@@                                             |
[256, 512)         29876 |@@@@@@                                              |
[512, 1K)          23155 |@@@@@                                               |
[1K, 2K)           11546 |@@                                                  |
[2K, 4K)            6032 |@                                                   |
[4K, 8K)            1106 |                                                    |
[8K, 16K)            305 |                                                    |
[16K, 32K)           228 |                                                    |
[32K, 64K)            76 |                                                    |
[64K, 128K)           30 |                                                    |
[128K, 256K)           5 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 990757
@runq_delay_us: 
[2, 4)             12300 |@@                                                  |
[4, 8)            236530 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)           141285 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                     |
[16, 32)           51182 |@@@@@@@@@@@                                         |
[32, 64)           29322 |@@@@@@                                              |
[64, 128)          33936 |@@@@@@@                                             |
[128, 256)         32685 |@@@@@@@                                             |
[256, 512)         30048 |@@@@@@                                              |
[512, 1K)          23430 |@@@@@                                               |
[1K, 2K)           11774 |@@                                                  |
[2K, 4K)            6162 |@                                                   |
[4K, 8K)            1118 |                                                    |
[8K, 16K)            313 |                                                    |
[16K, 32K)           235 |                                                    |
[32K, 64K)            81 |                                                    |
[64K, 128K)           30 |                                                    |
[128K, 256K)           5 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 1008685
@runq_delay_us: 
[2, 4)             12562 |@@                                                  |
[4, 8)            239834 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[8, 16)           143579 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@                     |
[16, 32)           52419 |@@@@@@@@@@@                                         |
[32, 64)           29975 |@@@@@@                                              |
[64, 128)          34358 |@@@@@@@                                             |
[128, 256)         32940 |@@@@@@@                                             |
[256, 512)         30269 |@@@@@@                                              |
[512, 1K)          23683 |@@@@@                                               |
[1K, 2K)           12001 |@@                                                  |
[2K, 4K)            6326 |@                                                   |
[4K, 8K)            1139 |                                                    |
[8K, 16K)            317 |                                                    |
[16K, 32K)           237 |                                                    |
[32K, 64K)            81 |                                                    |
[64K, 128K)           30 |                                                    |
[128K, 256K)           5 |                                                    |
[256K, 512K)           3 |                                                    |

@ctx_switches: 1024582
@runq_delay_us: 
[2, 4)             12884 |@@                                                  |
